Order_ID,Order_Number,Product_Category,Origin_City,Destination_City,Region,Shipping_Mode,Distance_km,Shipment_Weight_tons,Emission_Factor_kgCO2_per_ton_km,Carbon_Emission_kgCO2,Delivery_Time_days,Late_Delivery_Flag,Sales_Amount_INR,Profit_INR,Sustainability_Score
1,ORD00001,Pharmaceuticals,Mumbai,Pune,North India,Road - Heavy Truck,1176,0.74,0.08,69.62,2,0,28264.73,10122.69,99.65
2,ORD00002,Pharmaceuticals,Pune,Chennai,West India,Road - Heavy Truck,1002,1.39,0.08,111.42,4,0,53008.75,20781.51,99.44
3,ORD00003,Apparel,Kolkata,Bangalore,South India,Rail,76,8.19,0.02,12.45,7,0,77086.7,27142.4,99.94
4,ORD00004,Apparel,Delhi,Ahmedabad,North India,Rail,1606,1.47,0.02,47.22,10,1,14188.06,2067.93,89.76
5,ORD00005,Pharmaceuticals,Chennai,Mumbai,North India,Air,1250,1.25,0.6,937.5,6,0,83793.44,17969.01,95.31
6,ORD00006,Apparel,Ahmedabad,Hyderabad,South India,Road - Medium Truck,376,7.84,0.1,294.78,7,0,86255.18,12080.46,98.53
7,ORD00007,Pharmaceuticals,Bangalore,Chennai,South India,Rail,1143,3.88,0.02,88.7,2,0,71672.93,13971.61,99.56
8,ORD00008,Furniture,Delhi,Hyderabad,West India,Air,2331,4.1,0.6,5734.26,1,0,25863.44,7829.26,71.33
9,ORD00009,Groceries,Pune,Ahmedabad,South India,Rail,2373,1.13,0.02,53.63,11,1,88254.92,26970.41,89.73
10,ORD00010,Pharmaceuticals,Pune,Hyderabad,South India,Rail,2349,1.83,0.02,85.97,7,0,56202.84,9885.85,99.57
11,ORD00011,Furniture,Pune,Mumbai,West India,Road - Medium Truck,422,5.34,0.1,225.35,3,0,76799.3,10880.09,98.87
12,ORD00012,Electronics,Kolkata,Hyderabad,North India,Air,1967,6.16,0.6,7270.03,1,0,55265.86,6006.1,63.65
13,ORD00013,Apparel,Bangalore,Mumbai,East India,Rail,1908,4.63,0.02,176.68,12,1,5308.31,973.4,89.12
14,ORD00014,Electronics,Hyderabad,Ahmedabad,North India,Road - Medium Truck,711,1.95,0.1,138.65,9,1,56241.01,9359.18,89.31
15,ORD00015,Electronics,Mumbai,Ahmedabad,North India,Road - Heavy Truck,1309,9.33,0.08,977.04,10,1,27747.97,9094.08,85.11
16,ORD00016,Pharmaceuticals,Pune,Chennai,South India,Road - Medium Truck,1996,1.72,0.1,343.31,9,1,94950.62,33276.58,88.28
17,ORD00017,Furniture,Chennai,Mumbai,East India,Rail,1579,4.29,0.02,135.48,2,0,46619.51,11409.06,99.32
18,ORD00018,Electronics,Chennai,Mumbai,North India,Road - Heavy Truck,992,6.09,0.08,483.3,12,1,60901.81,24229.34,87.58
19,ORD00019,Furniture,Ahmedabad,Chennai,West India,Rail,1024,1.17,0.02,23.96,9,1,31455.34,8001.47,89.88
20,ORD00020,Groceries,Delhi,Mumbai,North India,Air,447,2.31,0.6,619.54,7,0,67603.36,19855.83,96.9
21,ORD00021,Furniture,Pune,Bangalore,East India,Air,497,7.42,0.6,2212.64,8,1,28622.35,9815.67,78.94
22,ORD00022,Electronics,Delhi,Delhi,North India,Air,358,2.87,0.6,616.48,9,1,47097.42,6668.77,86.92
23,ORD00023,Furniture,Pune,Delhi,West India,Road - Medium Truck,2039,2.08,0.1,424.11,1,0,50729.05,7132.75,97.88
24,ORD00024,Pharmaceuticals,Ahmedabad,Bangalore,South India,Rail,1913,9.3,0.02,355.82,12,1,32098.68,6131.57,88.22
25,ORD00025,Apparel,Delhi,Delhi,West India,Rail,289,2.57,0.02,14.85,12,1,60022.13,14245.74,89.93
26,ORD00026,Electronics,Chennai,Pune,North India,Road - Medium Truck,2130,1.04,0.1,221.52,10,1,12610.59,4341.23,88.89
27,ORD00027,Pharmaceuticals,Hyderabad,Kolkata,South India,Road - Medium Truck,212,6.0,0.1,127.2,10,1,63841.24,17507.34,89.36
28,ORD00028,Apparel,Mumbai,Delhi,West India,Rail,1671,2.77,0.02,92.57,8,1,17433.44,3597.39,89.54
29,ORD00029,Electronics,Chennai,Hyderabad,East India,Road - Heavy Truck,923,1.2,0.08,88.61,6,0,53059.05,19115.21,99.56
30,ORD00030,Pharmaceuticals,Delhi,Kolkata,North India,Road - Medium Truck,2275,4.66,0.1,1060.15,11,1,71836.29,15552.32,84.7
31,ORD00031,Pharmaceuticals,Chennai,Hyderabad,South India,Road - Medium Truck,488,3.01,0.1,146.89,5,0,75529.58,26689.56,99.27
32,ORD00032,Groceries,Kolkata,Delhi,North India,Rail,1078,5.3,0.02,114.27,2,0,91006.97,13302.39,99.43
33,ORD00033,Groceries,Delhi,Mumbai,North India,Rail,1122,7.83,0.02,175.71,12,1,20350.29,5442.67,89.12
34,ORD00034,Electronics,Kolkata,Hyderabad,North India,Road - Medium Truck,1562,5.68,0.1,887.22,3,0,60338.41,21454.64,95.56
